Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,MACD,Signal_Line,RSI_14,BB_Upper,BB_Lower
1997-07-01,4300.86,4301.77,4247.66,4263.11,0,,,0.0,0.0,,,
1997-07-08,4306.39,4313.0,4252.49,4285.65,0,,,2.52,2.18,,,
1997-07-15,4221.02,4261.03,4204.72,4229.89,0,,,-4.84,3.96,,,
1997-07-22,4186.29,4189.82,4145.65,4161.94,0,,,-35.87,-18.39,35.76,,
1997-07-29,4217.58,4218.98,4171.11,4180.59,0,4251.94,,-28.61,-26.07,32.43,4408.35,4095.54
1997-08-05,4548.02,4548.79,4477.5,4477.5,0,4268.56,,32.18,-4.47,78.42,4490.71,4046.42
1997-08-12,4425.03,4504.03,4393.24,4496.8,0,4304.7,,51.96,32.4,61.97,4577.57,4031.84
1997-08-21,4156.16,4265.19,4138.27,4252.05,0,4324.95,,-7.59,19.94,45.57,4576.4,4073.49
1997-08-29,3876.08,3945.67,3851.04,3916.58,0,4276.21,,-82.83,-32.25,19.83,4658.91,3893.52
1997-09-05,4032.35,4036.61,4005.07,4018.59,0,4175.57,,-90.72,-74.25,31.4,4591.57,3759.57
1997-09-12,3995.94,4018.5,3979.43,4013.01,0,4070.4,4212.64,-68.53,-72.92,45.84,4324.41,3816.39
1997-09-19,3825.12,3894.09,3820.28,3891.63,0,3991.49,4174.45,-79.38,-71.19,37.62,4141.46,3841.52
1997-09-26,3925.24,3927.77,3883.88,3895.98,0,3948.52,4128.07,-79.09,-81.71,35.09,4124.9,3772.13
1997-10-06,3857.34,3862.17,3829.05,3850.35,0,3924.86,4099.73,-61.45,-70.08,33.75,4102.32,3747.41
1997-10-13,4066.05,4118.92,4056.48,4093.92,0,3913.49,4077.26,-11.74,-43.58,82.28,4074.5,3752.49
1997-10-20,4154.84,4157.01,4103.63,4123.8,0,3949.29,4046.74,27.19,-5.66,74.87,4161.75,3736.82
1997-10-27,3934.33,3979.53,3914.96,3969.75,0,3992.74,4003.28,9.23,12.37,52.17,4175.72,3809.77
