Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,MACD,Signal_Line,RSI_14,BB_Upper,BB_Lower
2007-09-17,4494.65,4549.05,4482.85,4518.45,0,,,0.0,0.0,,,
2007-09-24,4932.2,4941.15,4837.15,4837.15,0,,,77.26,31.75,,,
2007-10-01,5068.95,5089.3,5001.35,5021.5,0,,,139.63,92.67,,,
2007-10-09,5327.25,5348.7,5000.95,5062.65,0,,,182.94,146.89,87.83,,
2007-10-16,5668.05,5708.35,5578.45,5670.65,0,5125.84,,254.21,204.77,80.94,5750.66,4501.01
2007-10-23,5473.7,5488.5,5176.85,5185.3,0,5275.21,,172.75,199.67,57.82,5739.66,4810.76
2007-10-30,5868.75,5976.0,5833.9,5917.55,0,5453.8,,221.46,198.96,62.81,5923.23,4984.37
2007-11-06,5786.5,5957.2,5759.95,5847.1,0,5619.58,,219.85,219.65,58.04,6082.68,5156.48
2007-11-14,5937.9,5950.2,5700.05,5703.95,0,5669.51,,158.09,185.29,68.18,6134.36,5204.65
2007-11-21,5561.05,5790.05,5530.85,5778.8,0,5783.77,,111.66,154.93,34.77,6061.9,5505.64
2007-11-28,5617.55,5749.95,5595.5,5699.55,0,5765.43,5463.01,46.24,91.29,43.32,6033.5,5497.37
2007-12-05,5940.0,5949.3,5859.95,5861.9,0,5751.81,5568.31,69.21,66.87,51.32,6019.45,5484.16
2007-12-12,6159.3,6175.65,6005.45,6067.05,0,5822.54,5671.83,117.41,88.75,85.2,6177.99,5467.09
2007-12-19,5751.15,5840.8,5676.7,5730.25,0,5837.92,5739.0,54.26,85.35,55.88,6200.0,5475.85
2007-12-28,6079.7,6098.6,6021.9,6079.55,0,5928.33,5784.01,74.51,69.59,56.31,6227.29,5629.38
2008-01-01,6144.35,6165.35,6109.85,6136.75,0,5972.61,5811.47,89.63,75.79,59.0,6248.86,5696.36
2008-01-02,6179.4,6197.0,6060.85,6144.7,0,5988.33,5830.75,96.4,79.91,54.47,6274.41,5702.26
2008-01-03,6178.55,6230.15,6126.4,6184.25,0,6004.34,5850.64,100.53,84.03,51.12,6295.58,5713.1
2008-01-04,6274.3,6300.05,6179.1,6179.1,0,6021.06,5866.65,110.26,89.28,62.67,6334.29,5707.83
2008-01-07,6279.1,6289.8,6193.35,6271.0,0,6037.28,5882.31,117.01,94.83,63.65,6369.09,5705.47
2008-01-08,6287.85,6357.1,6221.6,6282.45,0,6052.96,5896.69,121.66,100.19,93.62,6401.45,5704.46
2008-01-09,6272.0,6338.3,6231.25,6287.55,0,6068.52,5908.08,122.66,104.69,96.74,6427.32,5709.73
